jurisdiction,address,zip5,apn_fmt,con_sites,ex_gp_des,ex_zoning,min_dens,max_dens,acres,ex_use_vac,infra,public,site_stat,id_last2,li,mod,amod,capacity,opt1,opt2,abag_general_plan,abag_zoning,abag_allowable_density,abag_rhna_cycle,abag_rhna_years,sf_used_in_previous_he,abag_used_in_previous_he
San Francisco,5542-5550 GEARY BLVD,94121.0,1451-024,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-GEARY BOULEVARD,0.0,72.59971070997567,0.1037170465899322,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0874355785,0.0874355785,0.174871157,,0.023223793,NC-3,,,RHNA4,2007-2014,0,1
San Francisco,5500 GEARY BLVD,94121.0,1451-047,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-GEARY BOULEVARD,0.0,72.59971083262738,0.1140769701839246,Bank,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0957500965,0.0957500965,0.191500193,,0.023122583,NC-3,,,RHNA4,2007-2014,0,1
San Francisco,5612-5618 GEARY BLVD,94121.0,1452-019,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-GEARY BOULEVARD,0.0,72.59971098124129,0.1147844271267645,Office,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0912993585,0.0912993585,0.182598717,,0.021911891,NC-3,,,RHNA4,2007-2014,0,1
San Francisco,5626-5630 GEARY BLVD,94121.0,1452-020,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-GEARY BOULEVARD,0.0,72.59971072404697,0.1147847193315249,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.091444174,0.091444174,0.182888348,,0.021946591,NC-3,,,RHNA4,2007-2014,0,1
San Francisco,323-325 23RD AVE,94121.0,1455-003,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,0.0,29.55853640983902,0.08034956652833103,Flats & Duplex,Yes,,Available,Not Used in Prior Housing Element,0.0,0.002352124,0.002352124,0.004704248,,0.001980723,RM-1,,,RHNA4,2007-2014,0,1
San Francisco,3033 CLEMENT ST,94121.0,1463-046,,"NEIGHBORHOOD COMMERCIAL, CLUSTER",NC-1,0.0,36.56167742725361,0.05590307359060093,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.007641946,0.007641946,0.015283892,,0.007477771,NC-1,,,RHNA4,2007-2014,0,1
San Francisco,446 35TH AVE,94121.0,1466-033,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,0.0,9.704792869463871,0.1030418694608619,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0008517085,0.0008517085,0.001703417,,0.001703417,RH-2,,,RHNA4,2007-2014,0,1
San Francisco,484 39TH AVE,94121.0,1470-021,,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",RH-1(D),0.0,64.96036482915201,0.04618201465920221,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.002880146,0.002880146,0.005760292,,0.001920097,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,476-478 39TH AVE,94121.0,1470-022,,"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED",RH-1(D),0.0,36.2999734129866,0.08264468863017752,Flats & Duplex,Yes,,Available,Not Used in Prior Housing Element,0.0,0.002952027,0.002952027,0.005904054,,0.001968018,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,7710-7712 GEARY BLVD,94121.0,1473-003B,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,0.0,36.12280565225067,0.05456435910726468,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.00205873,0.00205873,0.00411746,,0.002089002,RM-1,,,RHNA4,2007-2014,0,1
San Francisco,25 POINT LOBOS AVE,94121.0,1493-001,,"NEIGHBORHOOD COMMERCIAL, CLUSTER",NC-1,0.0,67.5177288967265,0.2337120989566664,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.2112439185,0.2112439185,0.422487837,,0.026774119,NC-1,,,RHNA4,2007-2014,0,1
San Francisco,559 39TH AVE,94121.0,1505-010,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,0.0,14.28760354361141,0.06999074386041053,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0008769315,0.0008769315,0.001753863,,0.001753863,RH-2,,,RHNA4,2007-2014,0,1
San Francisco,7325-7327 GEARY BLVD,94121.0,1507-038,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,0.0,19.38264964045078,0.05703347214129267,Flats & Duplex,Yes,,Available,Not Used in Prior Housing Element,0.0,0.001052542,0.001052542,0.002105084,,0.001904261,RM-1,,,RHNA4,2007-2014,0,1
San Francisco,561 28TH AVE,94121.0,1516-009,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,0.0,39.92978222807506,0.06887051640350049,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.00281243,0.00281243,0.00562486,,0.002045415,RM-1,,,RHNA4,2007-2014,0,1
San Francisco,6333 GEARY BLVD,94121.0,1517-037,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-GEARY BOULEVARD,0.0,90.02364115197254,0.5143105665830265,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.991380129,0.0,0.0,0.991380129,,0.021412047,NC-3,,,RHNA4,2007-2014,0,1
San Francisco,473 23RD AVE,94121.0,1521-014,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,0.0,40.02636654287103,0.0693316799402003,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.002852408,0.002852408,0.005704816,,0.002055719,RM-1,,,RHNA4,2007-2014,0,1
San Francisco,408 22ND AVE,94121.0,1523-049,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-GEARY BOULEVARD,0.0,90.0236396747472,0.1829100859870198,Bank,Yes,,Available,Not Used in Prior Housing Element,0.462255682,0.0,0.0,0.462255682,,0.028072949,NC-3,,,RHNA4,2007-2014,0,1
